Funfam	UniProt	Segments	Length
3.20.20.70-FF-000042.faa	A0A3V2FYM0	1-243	243
3.20.20.70-FF-000042.faa	A0A1R2JXC1	1-243	243
3.20.20.70-FF-000042.faa	A0A3T2YMH0	1-243	243
3.20.20.70-FF-000042.faa	A0A0U1GA94	1-243	243
3.20.20.70-FF-000042.faa	A0A1S0ZM37	1-243	243
3.20.20.70-FF-000042.faa	A0A0M0QUZ2	1-243	243
3.20.20.70-FF-000042.faa	A0A1Z3PYU3	1-243	243
3.20.20.70-FF-000042.faa	A0A379XNK4	1-243	243
3.20.20.70-FF-000042.faa	A0A3V5VWW4	1-243	243
3.20.20.70-FF-000042.faa	A0A3V8VTZ3	1-243	243
3.20.20.70-FF-000042.faa	Q8ZN19	1-243	243
3.20.20.70-FF-000042.faa	A0A370YIU8	1-243	243
3.20.20.70-FF-000042.faa	A0A2I8Q1K1	1-243	243
3.20.20.70-FF-000042.faa	A0A0G3Q9T8	1-243	243
3.20.20.70-FF-000042.faa	A0A482PMP7	1-243	243
3.20.20.70-FF-000042.faa	D2TU21	1-243	243
3.20.20.70-FF-000042.faa	A6TCH8	1-243	243
3.20.20.70-FF-000042.faa	A0A2L1BVC6	1-243	243
3.20.20.70-FF-000042.faa	A0A377Z8K4	1-243	243
3.20.20.70-FF-000042.faa	A0A2X3EE18	1-243	243
3.20.20.70-FF-000042.faa	A0A3P6KRE5	1-243	243
3.20.20.70-FF-000042.faa	A0A398R4K6	1-243	243
3.20.20.70-FF-000042.faa	F5NYG5	1-243	243
3.20.20.70-FF-000042.faa	A0A200LC35	1-243	243
3.20.20.70-FF-000042.faa	F5N5T2	1-243	243
3.20.20.70-FF-000042.faa	B3WYJ9	1-243	243
3.20.20.70-FF-000042.faa	I6GYM8	1-243	243
3.20.20.70-FF-000042.faa	A0A2Y2M0Q2	1-243	243
3.20.20.70-FF-000042.faa	F3WL16	1-243	243
3.20.20.70-FF-000042.faa	Q0T1U1	1-243	243
3.20.20.70-FF-000042.faa	I6D744	1-243	243
3.20.20.70-FF-000042.faa	E7STG8	1-243	243
3.20.20.70-FF-000042.faa	A0A2S4MZ52	1-243	243
3.20.20.70-FF-000042.faa	D2AHE8	1-243	243
3.20.20.70-FF-000042.faa	A0A127GNF6	1-243	243
3.20.20.70-FF-000042.faa	A0A379SUS3	1-243	243
3.20.20.70-FF-000042.faa	A0A379PWG6	1-243	243
3.20.20.70-FF-000042.faa	A0A3V8P9W5	1-243	243
3.20.20.70-FF-000042.faa	A9MGX9	1-243	243
3.20.20.70-FF-000042.faa	A0A3S5YJC5	1-243	243
3.20.20.70-FF-000042.faa	A0A085G5S0	1-243	243
3.20.20.70-FF-000042.faa	A0A404AX62	1-243	243
3.20.20.70-FF-000042.faa	A0A3N2EMM3	1-243	243
3.20.20.70-FF-000042.faa	A0A3N1JAE3	1-243	243
3.20.20.70-FF-000042.faa	A0A3R8PV80	1-243	243
3.20.20.70-FF-000042.faa	A0A156K969	1-243	243
3.20.20.70-FF-000042.faa	A0A0J8VJJ0	1-243	243
3.20.20.70-FF-000042.faa	A0A3V4X4X8	1-243	243
3.20.20.70-FF-000042.faa	A0A1Z3V0T3	1-243	243
3.20.20.70-FF-000042.faa	B7LDF7	1-243	243
3.20.20.70-FF-000042.faa	A0A070FE65	1-243	243
3.20.20.70-FF-000042.faa	A0A2U8YER2	1-243	243
3.20.20.70-FF-000042.faa	M9H2S0	1-243	243
3.20.20.70-FF-000042.faa	A0A070SPB6	1-243	243
3.20.20.70-FF-000042.faa	D3QNA5	1-243	243
3.20.20.70-FF-000042.faa	A0A330XSG2	1-243	243
3.20.20.70-FF-000042.faa	V8FK00	1-243	243
3.20.20.70-FF-000042.faa	I2SN93	1-243	243
3.20.20.70-FF-000042.faa	G0FG81	1-243	243
3.20.20.70-FF-000042.faa	A0A3D8XLF7	1-243	243
3.20.20.70-FF-000042.faa	A0A1X3LGH8	1-243	243
3.20.20.70-FF-000042.faa	A0A222QP52	1-243	243
3.20.20.70-FF-000042.faa	A0A070UYW7	1-243	243
3.20.20.70-FF-000042.faa	A0A073FU44	1-243	243
3.20.20.70-FF-000042.faa	I2UT25	1-243	243
3.20.20.70-FF-000042.faa	A0A028E2W8	1-243	243
3.20.20.70-FF-000042.faa	A0A028ASC5	1-243	243
3.20.20.70-FF-000042.faa	A7ZQ08	1-243	243
3.20.20.70-FF-000042.faa	A0A0E0XW01	1-243	243
3.20.20.70-FF-000042.faa	A0A2A2XHY2	1-243	243
3.20.20.70-FF-000042.faa	C8UED0	1-243	243
3.20.20.70-FF-000042.faa	I2WVT7	1-243	243
3.20.20.70-FF-000042.faa	A0A3W4NUB3	1-243	243
3.20.20.70-FF-000042.faa	J7RTX5	1-243	243
3.20.20.70-FF-000042.faa	A0A3W2RCC0	1-243	243
3.20.20.70-FF-000042.faa	S1EG05	1-243	243
3.20.20.70-FF-000042.faa	D6HWU0	1-243	243
3.20.20.70-FF-000042.faa	A0A074HXF0	1-243	243
3.20.20.70-FF-000042.faa	A0A023Z144	1-243	243
3.20.20.70-FF-000042.faa	H4UMK5	1-243	243
3.20.20.70-FF-000042.faa	E0J4J6	1-243	243
3.20.20.70-FF-000042.faa	C8U934	1-243	243
3.20.20.70-FF-000042.faa	A0A0M7PRA2	1-243	243
3.20.20.70-FF-000042.faa	K4VQ33	1-243	243
3.20.20.70-FF-000042.faa	A0A0A8UC06	1-243	243
3.20.20.70-FF-000042.faa	W0AUR3	1-243	243
3.20.20.70-FF-000042.faa	A0A402YE46	1-243	243
3.20.20.70-FF-000042.faa	V6FVQ0	1-243	243
3.20.20.70-FF-000042.faa	K4W6R8	1-243	243
3.20.20.70-FF-000042.faa	W1F2Q3	1-243	243
3.20.20.70-FF-000042.faa	A0A1X3IJP0	1-243	243
3.20.20.70-FF-000042.faa	I2XC70	1-243	243
3.20.20.70-FF-000042.faa	L2UZE1	1-243	243
3.20.20.70-FF-000042.faa	A0A080FWG6	1-243	243
3.20.20.70-FF-000042.faa	A0A0E1T3J4	1-243	243
3.20.20.70-FF-000042.faa	W1BHB5	1-243	243
3.20.20.70-FF-000042.faa	A0A365QCD5	1-243	243
3.20.20.70-FF-000042.faa	A0A025CD75	1-243	243
3.20.20.70-FF-000042.faa	A0A1H0L6I9	1-243	243
3.20.20.70-FF-000042.faa	S1IDA8	1-243	243
3.20.20.70-FF-000042.faa	B6I5D8	1-243	243
3.20.20.70-FF-000042.faa	I2WHW5	1-243	243
3.20.20.70-FF-000042.faa	B7LV00	1-243	243
3.20.20.70-FF-000042.faa	A0A069XM29	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3PM18	1-243	243
3.20.20.70-FF-000042.faa	A0A3W4AC97	1-243	243
3.20.20.70-FF-000042.faa	V2RGS2	1-243	243
3.20.20.70-FF-000042.faa	C3SZ77	1-243	243
3.20.20.70-FF-000042.faa	A0A0E1M0F2	1-243	243
3.20.20.70-FF-000042.faa	T9S8P0	1-243	243
3.20.20.70-FF-000042.faa	A0A0F6C7P7	1-243	243
3.20.20.70-FF-000042.faa	A0A026UM37	1-243	243
3.20.20.70-FF-000042.faa	A0A140N7H9	1-243	243
3.20.20.70-FF-000042.faa	A0A0E2TV21	1-243	243
3.20.20.70-FF-000042.faa	A0A236M1K3	1-243	243
3.20.20.70-FF-000042.faa	P0A794	1-243	243
3.20.20.70-FF-000042.faa	P0A795	1-243	243
3.20.20.70-FF-000042.faa	I6CI78	1-243	243
3.20.20.70-FF-000042.faa	E7TA81	1-243	243
3.20.20.70-FF-000042.faa	A0A3R0N6B6	1-243	243
3.20.20.70-FF-000042.faa	I2S1D8	1-243	243
3.20.20.70-FF-000042.faa	B2TXX7	1-243	243
3.20.20.70-FF-000042.faa	A0A2S8D9T8	1-243	243
3.20.20.70-FF-000042.faa	K0WZ30	1-243	243
3.20.20.70-FF-000042.faa	I6DWC8	1-243	243
3.20.20.70-FF-000042.faa	I4T742	1-243	243
3.20.20.70-FF-000042.faa	A0A2X2JNR4	1-243	243
3.20.20.70-FF-000042.faa	A0A2H4TWC8	1-243	243
3.20.20.70-FF-000042.faa	Q31XS3	1-243	243
3.20.20.70-FF-000042.faa	E3G7V9	1-243	243
3.20.20.70-FF-000042.faa	A0A2G9AG74	1-243	243
3.20.20.70-FF-000042.faa	Q8FF18	1-243	243
3.20.20.70-FF-000042.faa	A0A085A8X8	1-243	243
3.20.20.70-FF-000042.faa	A0A2P5GKH5	1-243	243
3.20.20.70-FF-000042.faa	A0A090VYE9	1-243	243
3.20.20.70-FF-000042.faa	A0A167ZDZ2	1-243	243
3.20.20.70-FF-000042.faa	A0A2X2EBZ1	1-243	243
3.20.20.70-FF-000042.faa	A0A1F2KA92	1-243	243
3.20.20.70-FF-000042.faa	A8AD20	1-243	243
3.20.20.70-FF-000042.faa	A0A2X2VIJ6	1-243	243
3.20.20.70-FF-000042.faa	A0A3T3EW52	1-243	243
3.20.20.70-FF-000042.faa	V1X7L0	1-243	243
3.20.20.70-FF-000042.faa	A0A2T6WZ66	1-243	243
3.20.20.70-FF-000042.faa	V7ILJ7	1-243	243
3.20.20.70-FF-000042.faa	A0A3V4FH80	1-243	243
3.20.20.70-FF-000042.faa	A0A418ZA36	1-243	243
3.20.20.70-FF-000042.faa	A0A3V5E693	1-243	243
3.20.20.70-FF-000042.faa	Q8Z4K6	1-243	243
3.20.20.70-FF-000042.faa	A0A1E3N533	1-243	243
3.20.20.70-FF-000042.faa	A0A029IMM9	1-243	243
3.20.20.70-FF-000042.faa	E2QQ24	1-243	243
3.20.20.70-FF-000042.faa	A0A029HNT2	1-243	243
3.20.20.70-FF-000042.faa	B7MYJ5	1-243	243
3.20.20.70-FF-000042.faa	A0A454A6H5	1-243	243
3.20.20.70-FF-000042.faa	B7MIP9	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3ELC0	1-243	243
3.20.20.70-FF-000042.faa	S1PEW5	1-243	243
3.20.20.70-FF-000042.faa	A0A0E2L3C8	1-243	243
3.20.20.70-FF-000042.faa	E2X5F5	1-243	243
3.20.20.70-FF-000042.faa	A0A2X2KSY4	1-243	243
3.20.20.70-FF-000042.faa	Q32CV7	1-243	243
3.20.20.70-FF-000042.faa	A0A2P8VIR2	1-243	243
3.20.20.70-FF-000042.faa	A0A0F0TXD1	1-243	243
3.20.20.70-FF-000042.faa	A0A0H3CQE2	1-243	243
3.20.20.70-FF-000042.faa	A0A331LX08	1-243	243
3.20.20.70-FF-000042.faa	A0A0J5KYG7	1-243	243
3.20.20.70-FF-000042.faa	A0A0V9JGS6	1-243	243
3.20.20.70-FF-000042.faa	A0A378A9R7	1-243	243
3.20.20.70-FF-000042.faa	C8SYX7	1-243	243
3.20.20.70-FF-000042.faa	R4YAI3	1-243	243
3.20.20.70-FF-000042.faa	A0A2X3IT28	1-243	243
3.20.20.70-FF-000042.faa	A0A378EC70	1-243	243
3.20.20.70-FF-000042.faa	A0A484Y025	1-243	243
3.20.20.70-FF-000042.faa	A0A422YPQ1	1-243	243
3.20.20.70-FF-000042.faa	L0LZN9	1-243	243
3.20.20.70-FF-000042.faa	A0A3V9L1V6	1-243	243
3.20.20.70-FF-000042.faa	A0A3Z3F0X7	1-243	243
3.20.20.70-FF-000042.faa	A0A3V4SKD2	1-243	243
3.20.20.70-FF-000042.faa	A0A2T8LZ41	1-243	243
3.20.20.70-FF-000042.faa	A0A2X4QTL1	1-243	243
3.20.20.70-FF-000042.faa	A0A3V3EHX6	1-243	243
3.20.20.70-FF-000042.faa	A0A3T3B9F5	1-243	243
3.20.20.70-FF-000042.faa	A0A3V9RZL9	1-243	243
3.20.20.70-FF-000042.faa	A0A232SJE7	1-243	243
3.20.20.70-FF-000042.faa	A0A3V0JWM1	1-243	243
3.20.20.70-FF-000042.faa	A0A403SJV6	1-243	243
3.20.20.70-FF-000042.faa	A0A2T9QCZ5	1-243	243
3.20.20.70-FF-000042.faa	A0A447JE76	1-243	243
3.20.20.70-FF-000042.faa	A0A3W0NKV7	1-243	243
3.20.20.70-FF-000042.faa	A0A1U7FUB0	1-243	243
3.20.20.70-FF-000042.faa	A0A426WUI9	1-243	243
3.20.20.70-FF-000042.faa	A0A3V6CCK8	1-243	243
3.20.20.70-FF-000042.faa	A0A3V2JHX6	1-243	243
3.20.20.70-FF-000042.faa	A0A3Q9MNM7	1-243	243
3.20.20.70-FF-000042.faa	A0A0T9WLS9	1-243	243
3.20.20.70-FF-000042.faa	A0A2R4D732	1-243	243
3.20.20.70-FF-000042.faa	C0PYH0	1-243	243
3.20.20.70-FF-000042.faa	A0A3V7IH92	1-243	243
3.20.20.70-FF-000042.faa	A0A3Z1EE09	1-243	243
3.20.20.70-FF-000042.faa	A0A3G3DXK0	1-243	243
3.20.20.70-FF-000042.faa	Q3V7K1	1-243	243
3.20.20.70-FF-000042.faa	Q57LD3	1-243	243
3.20.20.70-FF-000042.faa	S3JQ08	1-243	243
3.20.20.70-FF-000042.faa	G8LNB5	1-243	243
3.20.20.70-FF-000042.faa	A0A0H7XUB4	1-243	243
3.20.20.70-FF-000042.faa	Q3YYV2	1-243	243
3.20.20.70-FF-000042.faa	H5V6Q3	1-243	243
3.20.20.70-FF-000042.faa	A0A3C2BM20	1-243	243
3.20.20.70-FF-000042.faa	A0A447LSG1	1-243	243
3.20.20.70-FF-000042.faa	A0A427UZ30	1-243	243
3.20.20.70-FF-000001.faa	G4FDZ7	1-293	293
3.20.20.70-FF-000001.faa	A0A101EQC6	1-293	293
3.20.20.70-FF-000001.faa	A0A0A6MWI0	1-293	293
3.20.20.70-FF-000001.faa	A0A101FAH2	1-293	293
3.20.20.70-FF-000001.faa	B1L920	1-293	293
3.20.20.70-FF-000001.faa	Q9WYU4	1-293	293
3.20.20.70-FF-000001.faa	A5IJU8	1-293	293
3.20.20.70-FF-000001.faa	A7SXL5	34-321	288
3.20.20.70-FF-000001.faa	Q9RUL7	13-307	295
3.20.20.70-FF-000001.faa	H8GUX8	2-296	295
3.20.20.70-FF-000001.faa	A0A2T3WDS2	12-306	295
3.20.20.70-FF-000001.faa	A0A0N0NDZ2	8-302	295
3.20.20.70-FF-000001.faa	A0A327VUT0	7-302	296
3.20.20.70-FF-000001.faa	A0A3R9X859	9-302	294
3.20.20.70-FF-000001.faa	F3NL21	8-301	294
3.20.20.70-FF-000001.faa	A0A1G7HQ40	8-301	294
3.20.20.70-FF-000001.faa	K4RDG1	6-300	295
3.20.20.70-FF-000001.faa	A0A2U3A5F9	6-300	295
3.20.20.70-FF-000001.faa	A0A101UII0	6-300	295
3.20.20.70-FF-000001.faa	A0A250VM66	8-303	296
3.20.20.70-FF-000001.faa	A0A101CM76	8-302	295
3.20.20.70-FF-000001.faa	A0A3D9QEZ7	8-302	295
3.20.20.70-FF-000001.faa	A0A2K8QZL8	11-305	295
3.20.20.70-FF-000001.faa	A0A1P8Y3T8	11-305	295
3.20.20.70-FF-000001.faa	A0A1C5FU78	11-305	295
3.20.20.70-FF-000001.faa	A0A291T0R1	11-305	295
3.20.20.70-FF-000001.faa	A0A2S4XMS0	8-302	295
3.20.20.70-FF-000001.faa	S2YUE3	8-302	295
3.20.20.70-FF-000001.faa	A0A177HVG1	14-308	295
3.20.20.70-FF-000001.faa	A0A1V4DRB8	6-300	295
3.20.20.70-FF-000001.faa	A0A101Q091	6-300	295
3.20.20.70-FF-000001.faa	A0A3Q9BY13	6-300	295
3.20.20.70-FF-000001.faa	A0A1E5PNM0	10-304	295
3.20.20.70-FF-000001.faa	A0A1E7JYL5	11-304	294
3.20.20.70-FF-000001.faa	A0A2A3I089	8-302	295
3.20.20.70-FF-000001.faa	M3BMJ0	8-301	294
3.20.20.70-FF-000001.faa	S5VJ10	6-300	295
3.20.20.70-FF-000001.faa	A0A1V4AF02	13-307	295
3.20.20.70-FF-000001.faa	A0A160NWB3	10-303	294
3.20.20.70-FF-000001.faa	A0A0D0P5Q5	8-302	295
3.20.20.70-FF-000001.faa	A0A0K2ANQ4	8-302	295
3.20.20.70-FF-000001.faa	E2PV83	44-338	295
3.20.20.70-FF-000001.faa	A0A2P2GQV3	7-300	294
3.20.20.70-FF-000001.faa	V6JX84	6-300	295
3.20.20.70-FF-000001.faa	A0A2S4Z3X3	6-300	295
3.20.20.70-FF-000001.faa	A0A1R0LL89	6-300	295
3.20.20.70-FF-000001.faa	A0A2S9PQ76	8-301	294
3.20.20.70-FF-000001.faa	A0A429PRV7	9-303	295
3.20.20.70-FF-000001.faa	A0A2Z2YBG0	11-305	295
3.20.20.70-FF-000001.faa	A0A1E7LGC9	11-305	295
3.20.20.70-FF-000001.faa	A0A2S3Y4C1	11-305	295
3.20.20.70-FF-000001.faa	A0A429UIE8	11-305	295
3.20.20.70-FF-000001.faa	A0A1V0V256	11-305	295
3.20.20.70-FF-000001.faa	A0A0M4DSP7	11-305	295
3.20.20.70-FF-000001.faa	A0A1C4KUH5	11-305	295
3.20.20.70-FF-000001.faa	A0A1Q5DSV3	11-305	295
3.20.20.70-FF-000001.faa	A0A1J4NYU9	8-302	295
3.20.20.70-FF-000001.faa	A0A1Q4V3Z2	10-304	295
3.20.20.70-FF-000001.faa	A0A2W2L652	9-303	295
3.20.20.70-FF-000001.faa	L1L4V4	11-304	294
3.20.20.70-FF-000001.faa	A0A429AKA2	8-302	295
3.20.20.70-FF-000001.faa	A0A3Q8VGD5	8-302	295
3.20.20.70-FF-000001.faa	A0A2M8LST0	10-303	294
3.20.20.70-FF-000001.faa	A0A101TRS7	6-300	295
3.20.20.70-FF-000001.faa	A0A117P137	6-300	295
3.20.20.70-FF-000001.faa	A0A3M8F7U9	11-304	294
3.20.20.70-FF-000001.faa	A0A066Z3H5	8-302	295
3.20.20.70-FF-000001.faa	A0A3Q8W0A2	8-302	295
3.20.20.70-FF-000001.faa	A0A429Q973	9-303	295
3.20.20.70-FF-000001.faa	A0A291Q494	11-303	293
3.20.20.70-FF-000001.faa	A0A2U3BZ76	14-308	295
3.20.20.70-FF-000001.faa	A0A3N1IIQ7	6-300	295
3.20.20.70-FF-000001.faa	A0A1Q5K5I8	6-300	295
3.20.20.70-FF-000001.faa	A0A1S2Q3C8	8-302	295
3.20.20.70-FF-000001.faa	A0A1Q5MLX5	10-304	295
3.20.20.70-FF-000001.faa	A0A1G8XG43	13-307	295
3.20.20.70-FF-000001.faa	A0A1L9DS48	8-302	295
3.20.20.70-FF-000001.faa	A0A1E7NDI0	8-302	295
3.20.20.70-FF-000001.faa	A0A1H7ZHY5	11-303	293
3.20.20.70-FF-000001.faa	A0A0A8EV92	22-316	295
3.20.20.70-FF-000001.faa	A0A0G3AKH9	6-300	295
3.20.20.70-FF-000001.faa	A0A0Q9AH98	8-302	295
3.20.20.70-FF-000001.faa	A0A2R4JPT4	8-302	295
3.20.20.70-FF-000001.faa	Q827U0	9-303	295
3.20.20.70-FF-000001.faa	A0A1H9IWF8	14-307	294
3.20.20.70-FF-000001.faa	A0A3A9Z8F9	10-303	294
3.20.20.70-FF-000001.faa	A0A3N1MZV7	6-300	295
3.20.20.70-FF-000001.faa	A0A426UB82	6-300	295
3.20.20.70-FF-000001.faa	A0A221NVI9	6-300	295
3.20.20.70-FF-000001.faa	A0A2A2YQS1	8-302	295
3.20.20.70-FF-000001.faa	A0A171BLW2	9-303	295
3.20.20.70-FF-000001.faa	M3DP13	9-302	294
3.20.20.70-FF-000001.faa	A0A1D8SL26	8-302	295
3.20.20.70-FF-000001.faa	A0A3M0IB78	8-302	295
3.20.20.70-FF-000001.faa	A0A1C5DQ33	11-305	295
3.20.20.70-FF-000001.faa	A0A2Z5J961	11-305	295
3.20.20.70-FF-000001.faa	A0A285DI87	11-305	295
3.20.20.70-FF-000001.faa	A0A2V2QIR6	11-305	295
3.20.20.70-FF-000001.faa	E8W975	11-305	295
3.20.20.70-FF-000001.faa	A0A329C1A7	11-305	295
3.20.20.70-FF-000001.faa	A0A1Q5LF73	8-301	294
3.20.20.70-FF-000001.faa	A0A1X1NJR3	8-301	294
3.20.20.70-FF-000001.faa	A0A0W7WU51	12-306	295
3.20.20.70-FF-000001.faa	A0A0F2TBS7	8-302	295
3.20.20.70-FF-000001.faa	A0A0F2T1R8	8-302	295
3.20.20.70-FF-000001.faa	A0A3S9PEJ1	8-302	295
3.20.20.70-FF-000001.faa	A0A2G1XQ60	7-301	295
3.20.20.70-FF-000001.faa	A0A2M9JLD2	6-300	295
3.20.20.70-FF-000001.faa	A0A022MB15	9-303	295
3.20.20.70-FF-000001.faa	A0A1A9IU52	9-303	295
3.20.20.70-FF-000001.faa	A0A2T7SVK0	10-303	294
3.20.20.70-FF-000001.faa	A0A1C5DYJ5	8-303	296
3.20.20.70-FF-000001.faa	A0A0F7MYR4	11-304	294
3.20.20.70-FF-000001.faa	A0A1Q4VKB2	15-308	294
3.20.20.70-FF-000001.faa	A0A1W7D456	9-302	294
